name,short_description,detailed_description,business_function,capabilities,owner,technology,status
Evolve Automation,"Manual creation of Evolve pages from storyboard Word documents is time-consuming, error-prone, and inefficient. To streamline this process, there is a need for a BOT automation that can extract structured content from...","Manual creation of Evolve pages from storyboard Word documents is time-consuming, error-prone, and inefficient. To streamline this process, there is a need for a BOT automation that can extract structured content from the storyboard and auto-generate 18 Evolve templates and pages, ensuring accuracy, consistency, and reduced turnaround time.

1. Upload the Storyboard input Word document and image folder to the interface; the bot will start running.
2. Download the input file from Google Drive.
3. Open https://universityofphoenix.evolveauthoring.com/#/courses and log in.
4. Read the Storyboard input Word document to identify the number of Evolve templates available.
5. Based on the Evolve template name, select the corresponding template in the Evolve platform.
6. Populate the text into the Evolve platform.
7. Once all Evolve templates are completed, the course link will be sent via the interface.
8. Finally, the status will be updated in the interface.

Generated 239 Evolve Ouputs",HE,Generated 239 Evolve Ouputs,harshita.gulati@hurix.com,BOT Automation - UiPath; UI Interface - Angular; API - .Net Core 6.0,ACTIVE
D2L Automation in Client Live Environment,"Manually building 29 D2L templates from storyboard Word documents is labor-intensive and prone to inconsistencies. A BOT automation is needed to extract and map content from the storyboard to D2L templates, enabling...","Manually building 29 D2L templates from storyboard Word documents is labor-intensive and prone to inconsistencies. A BOT automation is needed to extract and map content from the storyboard to D2L templates, enabling faster, error-free creation of pages with improved consistency and reduced manual effort.

1. Upload the Storyboard input Word document and image folder to the interface; the bot will start running.
2. Download the input file from Google Drive.
3. Open https://mycourses.csp.edu/d2l/home and log in.
4. Read the Storyboard input Word document to identify the number of D2L templates available.
5. Based on the D2L template name, select the corresponding template in the D2L platform.
6. Populate the text into the D2L platform.
7. Once all D2L templates are completed, the course link will be sent via the interface.
8. Finally, the status will be updated in the interface.

Generated 457 D2L Output",HE,Generated 457 D2L Output,ankita.sharma@hurix.com,BOT Automation - UiPath; UI Interface - Angular; API - .Net Core 6.0,ACTIVE
WGU OA Script Automation,"Managing reviewer and client feedback for the WGU OA SB Template manually is inefficient and error-prone. To address this, a script has been developed using AppScript to automate the extraction of feedback, streamlining...","Managing reviewer and client feedback for the WGU OA SB Template manually is inefficient and error-prone. To address this, a script has been developed using AppScript to automate the extraction of feedback, streamlining the review process. Additionally, another script has been created to auto-populate the template using item codes and counts, significantly reducing manual data entry, improving accuracy, and accelerating content production.

1. Extraction Review and Client Feedbacks from Google Doc to Google Sheet
2. Auto generate document templates based on Item Code and Count

Bot Handover to Team",HE,Bot Handover to Team,sandeep.dagar@hurix.com,Apps Script,ACTIVE
LRPS,"Validating content and URLs for multiple asset providers on the LRPS site is a manual and time-consuming process. It involves comparing links and content, checking for invalid or broken URLs, and monitoring page loading...","Validating content and URLs for multiple asset providers on the LRPS site is a manual and time-consuming process. It involves comparing links and content, checking for invalid or broken URLs, and monitoring page loading times—making the task inefficient and prone to errors when performed at scale. An automated solution is required to loop through asset provider data in an Excel sheet, navigate the LRPS site, validate URLs and on-page content, and detect slow-loading or invalid links—ensuring accuracy, faster validation, and improved content quality control.

Looping through all asset providers in excel sheet and navigating through LRPS site for comaparing link and content validation
Detecting loading time and invalid urls

Bot Handover to Team",HE,Bot Handover to Team,murugan.gopal@hurix.com,Java Selenium,ACTIVE
GCP BOT,"Manually processing text-to-speech requests from Excel files stored in a cloud environment is time-consuming, error-prone, and lacks scalability. The process involves validating voice names and requester IDs, generating...","Manually processing text-to-speech requests from Excel files stored in a cloud environment is time-consuming, error-prone, and lacks scalability. The process involves validating voice names and requester IDs, generating audio outputs, and managing communication—all of which are repetitive and prone to delays. An automated solution is required to monitor the input folder at regular intervals, validate data against a master reference, generate audio using an API, manage errors through automated notifications, and deliver the final audio assets—ensuring accuracy, efficiency, and timely delivery at scale.

1. Go to the GCP Portal. 
2. Check the input folder container at one-hour intervals. 
3. Download the input Excel file from the container. 
4. Validate the Voice Name and Request ID in the input Excel file against the Language Master sheet. 
5. If the Voice Name validation fails, an email will be sent to the Requestor ID. 
6. If the Requestor ID validation fails, an email will be sent to the RPA team. 
7. If validation passes, copy the ""Input Text"" from each row of the table and generate audio using the API. 
8. The output audio files will be zipped and uploaded to the GCP Output container. 
9. Share the output path link with the Requestor ID via email. 
10. Repeat this process for every Excel document in the Azure input container.

Generated 360 output files",,Generated 360 output files,deepti.inamdar@hurix.com,UiPath; Python,ACTIVE
OEX QTI XML generation,"Manually converting questions from Word documents into XML format and packaging them for delivery is a time-consuming and error-prone process, especially when handling large volumes of content. An automated solution is...","Manually converting questions from Word documents into XML format and packaging them for delivery is a time-consuming and error-prone process, especially when handling large volumes of content. An automated solution is needed to read Word documents from a specified location, extract individual questions, convert each question into the required XML structure, and compile the XML files into a ZIP package—ensuring efficiency, accuracy, and streamlined content transformation for digital platforms.

1. Read the word document from input location.
2. Read the individual question from the document.
3. Convert each and every question as XML format.
4. Comprase the package as zip file.",HE,1. Read the word document from input location. 2. Read the individual question from the document. 3. Convert each and every question as XML format. 4. Comprase...,Yogesh Hankre,RPA,ACTIVE
Storyline Automation,"Creating eLearning courses in Articulate Storyline 360 from storyboard PPTX files and corresponding audio assets is a manual, time-consuming process prone to inconsistencies. It involves identifying templates, entering...","Creating eLearning courses in Articulate Storyline 360 from storyboard PPTX files and corresponding audio assets is a manual, time-consuming process prone to inconsistencies. It involves identifying templates, entering content, inserting audio, and updating progress—all of which require significant effort and coordination. To streamline and scale content production, an automated solution is needed to read storyboard files, map templates, populate content and audio in Articulate Storyline 360, and manage delivery and status updates—ensuring faster, consistent, and error-free course creation.

1. Upload the Storyboard PPTX document and Audio folder to the interface; the bot will start running. 
2. Download the input file from Google Drive. 
3. Open Articulate Storyline 360 and log in. 
4. Read the slides in the Storyboard PPTX document, specifically the notes section, to identify the template names. 
5. Based on the identified template name, select the corresponding template in Articulate Storyline 360. 
6. Populate the text and insert the audio into the appropriate sections of Articulate Storyline 360. 
7. Once all templates are completed, the course link will be sent via the interface. 
8. Finally, the status will be updated in the interface.

Generated 85 Articulate files",HL,Generated 85 Articulate files,amrita.choudhury@hurix.com,BOT Automation - UiPath; UI Interface - Angular; API - .Net Core 6.0,ACTIVE
Colibri Rise Automation,"Manually creating courses in Articulate Rise from Word-based storyboard documents is time-consuming, repetitive, and prone to formatting inconsistencies. The process of identifying style templates, entering text and...","Manually creating courses in Articulate Rise from Word-based storyboard documents is time-consuming, repetitive, and prone to formatting inconsistencies. The process of identifying style templates, entering text and images, and generating course links requires significant manual effort. An automated solution is needed to extract content and style information from storyboard documents, populate the appropriate templates in the Rise platform, and generate the final course link—ensuring efficiency, consistency, and scalability in course development.

1. Open the input file from the input folder. 
2. Go to https://rise.articulate.com/ and log in. 
3. Read the storyboard input Word document to identify the style. 
4. Based on the style template name, select the corresponding template in the Rise platform. 
5. Populate the text and images into the Rise platform. 
6. Once all templates are completed, save the course link in a text file.

Generated 349 output files",HPT,Generated 349 output files,S.Ravi,BOT Automation - UIPath; BOT machine deployed in HPT Team,ACTIVE
Media Bank,"Manually extracting Viddler video codes from courses on the MHE website is a repetitive and time-consuming task that increases the risk of oversight and data inconsistency. To streamline this process, an automated...","Manually extracting Viddler video codes from courses on the MHE website is a repetitive and time-consuming task that increases the risk of oversight and data inconsistency. To streamline this process, an automated solution is required to log into the MHE website, navigate through assigned course URLs, extract Viddler codes systematically, and record them in an Excel sheet—ensuring accuracy, efficiency, and scalability in video asset management.

1. Open the MHE website and log in. 
2. Assign the course URL to the bot and initiate the process. 
3. Navigate through the course and extract the Viddler code one by one. 
4. Write the extracted Viddler codes into an Excel sheet. 
5. Save the Excel file in the output folder.

Bot Handover to Team",HPT,Bot Handover to Team,venkatasubramanian.narasimhan@hurix.com,UiPath,ACTIVE
SRT to Text,SRT subtitle files contain timestamps and formatting data that are unnecessary for certain content processing tasks. Manually cleaning these files to extract only the spoken text is time-consuming and error-prone. An...,"SRT subtitle files contain timestamps and formatting data that are unnecessary for certain content processing tasks. Manually cleaning these files to extract only the spoken text is time-consuming and error-prone. An automated solution is needed to read SRT files, remove unwanted elements such as timestamps and sequence numbers, extract the clean text, and save it in the output folder—ensuring efficiency, consistency, and readiness for further content use.

Read the SRT files, remove unwanted text such as timestamps, extract the remaining text, and save it in the output folder.

Bot Handover to Team",HPT,Bot Handover to Team,venkatasubramanian.narasimhan@hurix.com,UiPath,ACTIVE
